colorName,hexCode
Mahogany,CD4A4A
Fuzzy Wuzzy Brown,CC6666
Chestnut,BC5D58
Red Orange,FF5349
Sunset Orange,FD5E53
Bittersweet,FD7C6E
Melon,FDBCB4
Outrageous Orange,FF6E4A
Vivid Tangerine,FFA089
Burnt Sienna,EA7E5D
Brown,B4674D
Sepia,A5694F
Orange,FF7538
Burnt Orange,FF7F49
Copper,DD9475
Mango Tango,FF8243
Atomic Tangerine,FFA474
Beaver,9F8170
Antique Brass,CD9575
Desert Sand,EFCDB8
Raw Sienna,D68A59
Tumbleweed,DEAA88
Tan,FAA76C
Peach,FFCFAB
Macaroni and Cheese,FFBD88
Apricot,FDD9B5
Neon Carrot,FFA343
Almond,EFDBC5
Yellow Orange,FFB653
Gold,E7C697
Shadow,8A795D
Banana Mania,FAE7B5
Sunglow,FFCF48
Goldenrod,FCD975
Dandelion,FDDB6D
Yellow,FCE883
Green Yellow,F0E891
Spring Green,ECEABE
Olive Green,BAB86C
Laser Lemon,FDFC74
Unmellow Yellow,FDFC74
Canary,FFFF99
Yellow Green,C5E384
Inch Worm,B2EC5D
Asparagus,87A96B
Granny Smith Apple,A8E4A0
Electric Lime,1DF914
Screamin Green,76FF7A
Fern,71BC78
Forest Green,6DAE81
Sea Green,9FE2BF
Green,1CAC78
Mountain Meadow,30BA8F
Shamrock,45CEA2
Jungle Green,3BB08F
Caribbean Green,1CD3A2
Tropical Rain Forest,17806D
Pine Green,158078
Robin Egg Blue,1FCECB
Aquamarine,78DBE2
Turquoise Blue,77DDE7
Sky Blue,80DAEB
Outer Space,414A4C
Blue Green,199EBD
Pacific Blue,1CA9C9
Cerulean,1DACD6
Cornflower,9ACEEB
Midnight Blue,1A4876
Navy Blue,1974D2
Denim,2B6CC4
Blue,1F75FE
Periwinkle,C5D0E6
Cadet Blue,B0B7C6
Indigo,5D76CB
Wild Blue Yonder,A2ADD0
Manatee,979AAA
Blue Bell,ADADD6
Blue Violet,7366BD
Purple Heart,7442C8
Royal Purple,7851A9
Purple Mountainsâ€™ Majesty,9D81BA
Violet (Purple),926EAE
Wisteria,CDA4DE
Vivid Violet,8F509D
Fuchsia,C364C5
Shocking Pink,FB7EFD
Pink Flamingo,FC74FD
Plum,8E4585
Hot Magenta,FF1DCE
Purple Pizzazz,FF1DCE
Razzle Dazzle Rose,FF48D0
Orchid,E6A8D7
Red Violet,C0448F
Eggplant,6E5160
Cerise,DD4492
Wild Strawberry,FF43A4
Magenta,F664AF
Lavender,FCB4D5
Cotton Candy,FFBCD9
Violet Red,F75394
Carnation Pink,FFAACC
Razzmatazz,E3256B
Piggy Pink,FDD7E4
Jazzberry Jam,CA3767
Blush,DE5D83
Tickle Me Pink,FC89AC
Pink Sherbet,F780A1
Maroon,C8385A
Red,EE204D
Radical Red,FF496C
Mauvelous,EF98AA
Wild Watermelon,FC6C85
Scarlet,FC2847
Salmon,FF9BAA
Brick Red,CB4154
White,EDEDED
Timberwolf,DBD7D2
Silver,CDC5C2
Gray,95918C
Black,232323
